Album,Song,Lyrics
Icarus Falls,Back To Life ,"What if I changed my mind?
What if I said it's over?
I been flying so long
Can't remember what it was like to be sober
What if I lost my lives?
What if I said game over?
What if I forget my lines
And I lose all my composure? Honestly she's the only one that's watching over me
Gives me oxygen when it gets hard to breathe
And if I'm wrong or right
She's always on my side
And if I lose the fight I know she'll bring me back
Bring me back, bring me back to life
Bring me back
Bring me back, bring me back to life What if we never met?
What if I never saw her?
'Cause I've been burning up for so long
In a world that just keeps getting colder Honestly she's the only one that's watching over me
Gives me oxygen when it gets hard to breathe
And if I'm wrong or right
She's always on my side
And if I lose the fight I know she'll bring me back
Bring me back, bring me back to life
Bring me back
Bring me back, bring me back to life Nobody does this like you
I've been around the world
I seen a lot of girls
I been a lot of places
I seen a lot of faces
Nobody does this like you Honestly she's the only one that's watching over me
Gives me oxygen when it gets hard to breathe
And if I'm wrong or right
She's always on my side
And if I lose the fight
I know she'll bring me back to life"
Icarus Falls,Common,"Always lookin' out behind my fences
Always felt isolated, oh-oh-oh
I don't know why I was so defensive
I'll find a way to let you in I will die if I don't try, damned if I ask why
This is somethin' real, this is somethin' right
Never been in love, never felt it all until now As I lay here in your bed, I need you on my chest
To warm me all the time, to take away your breath
It's written on your lips, there ain't nothin' common 'bout us
In this ordinary world where nothin' is enough
Everything is gray, mistakin' love for lust
When I hold you in my arms, there ain't nothin' common 'bout us There ain't nothin' common 'bout us
There ain't nothin' common 'bout us I see all your flaws and imperfections
But that's what makes me love you more, oh-oh-oh
We got such a spiritual connection
Don't you know you're fuckin' beautiful I will die if I don't try, damned if I ask why
This is somethin' real, this is somethin' right
Never been in love, never felt it all until now As I lay here in your bed, I need you on my chest
To warm me all the time, to take away your breath
It's written on your lips, there ain't nothin' common 'bout us
In this ordinary world where nothin' is enough
Everything is gray, mistakin' love for lust
When I hold you in my arms, there ain't nothin' common 'bout us There ain't nothin' common 'bout us
There ain't nothin' common 'bout us I wanna feel your love
Just give me all your trust
Common ain't us
'Cause common ain't enough In this ordinary world where nothin' is enough
Everything is gray, mistakin' love for lust
When I hold you in my arms, there ain't nothin' common 'bout us There ain't nothin' common 'bout us
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us"
Icarus Falls,Imprint,"We can leave an imprint
'Cause this minute that I'm in
'Cause this minute's where I live with you
Where I stay with you
If you wanna stay up late Girl we'd still make it
If the planets all faded away
You might think I'm crazy
But I know you're my baby anyway Girl you took two minutes out of my life
Yeah who told ya I ain't with it? I need ya
I don't want 'em back
I just want you back in my bed
I don't want 'em back
I just want you back in my bed You can take it all off
'Cause this love ain't got no cost
No excuses I'll be cursed for you
It's just something that I say to you
If you want it I can change Girl we'd still make it
If the planets all faded away
You might think I'm crazy
But I know you're my baby anyway Girl you took two minutes out of my life
Yeah who told ya I ain't with it? I need ya
I don't want 'em back
I just want you back in my bed
I don't want 'em back
I just want you back in my bed I never told you the story, oh
They say this building's from Victorian times
I guess we all got a story, oh
Just tellin' mine
Change the scenario
Jumpin' like Mario
Gotta give it all a go
Don't lose a life Girl you took two minutes out of my life
Yeah who told ya I ain't with it? I need ya
I don't want 'em back
I just want you back in my bed
I don't want 'em back
I just want you back in my bed
Girl you took two minutes out of my life
Yeah who told ya I ain't with it? I need ya
I don't want 'em back
I just want you back in my bed
I don't want 'em back
I just want you back in my bed"
Icarus Falls,Stand Still ,"Skies of blue and birds of yellow
Flowers growing just to bloom
A million chances of our glances
Catching eyes across the room If time stands still
Move I will to you
This world's filled
Somehow I see you
Move I will to you Rain could pour upon your face now
And yet your beauty would still shine
I would live a thousand lifetimes
If it's you I'm sent to find If time stands still
Move I will to you
This world's filled
Somehow I see you
Move I will to you Move all the water, babe
Lift the rocks up, tide getting stuck
Nothing can stop us
Move all the water, babe
Lift the rocks up, tide getting stuck
Nothing can stop us If time stands still
Move I will to you
This world's filled
Somehow I see you
If time stands still (If time stands still)
Move I will to you (Move I will to you)
This world's filled
Somehow I see you (Some how I see you)
Move I will to you"
Icarus Falls,Tonight,"Just let me talk, you know what I'm sayin'
Don't give me that, girl I know you're stayin'
Where you goin'? You feel that space, it's mine
Said we're goin', in every space and time But love me tonight
Speak all your mind
Take all your time
I know that you're mine (I know that you're mine) So love me
Like we don't have tomorrow
Like there's no time at all, love
Love me like tomorrow's
Never gonna come
So love me
Like we don't have tomorrow
Like there's no time at all, love
Love me like tomorrow's
Never gonna come Tell me why it's always different in the mornin'
Last night you were by my side
Space and time, I wanna fall into your eyes
There's no point in stallin', there's nothin' to hide
Right now it's priceless, some things you can't buy
You're that protection that keeps me alive
Oh you got it right, you got it right But love me tonight
Speak all your mind
Take all your time
I know that you're mine (I know that you're mine) So love me
Like we don't have tomorrow
Like there's no time at all, love
Love me like tomorrow's
Never gonna come No matter where you are
Or where you'll be
When you're feelin' yourself But love me tonight
Speak all your mind
Take all your time
I know that you're mine (I know that you're mine) So love me
Like we don't have tomorrow
Like there's no time at all, love
Love me like tomorrow's
Never gonna come
So love me
Like we don't have tomorrow (Like we don't, like we don't have tomorrow)
Like there's no time at all, love
Love me like tomorrow's
Never gonna come"
Icarus Falls,Flight Of The Stars,"I go where you go
Go through Armageddon
Girl I got you
There's no goodbyes, only us
So I will follow
Hold you close standing on the edge of no tomorrow
Still deep in us, get that rush
So I still follow I been feeling high when I touch your body
That's how I feel the soul inside her body
Can't believe my eyes I swear
You glow, I follow you close
Fingertips touch, all I want your body
Fingertips touch all I want All I want
All I ever wanted
It's in front of me
Right in front of me
What have I done
Now I never done
This could be the end of me
Be the end of me I go where you go
Go through Armageddon
Girl I got you
There's no goodbyes, only us
So I will follow
Hold you close standing on the edge of no tomorrow
Still deep in us, get that rush
So I still follow I been feeling like I deserve somebody
And you burn so bright you can blind somebody
You go following flights to the stars
And these cars can get us home All I want
All I ever wanted
It's in front of me
Right in front of me
What have I done?
Now I never done
This could be the end of me
Be the end of me I go where you go
Go through Armageddon
Girl I got you
There's no goodbyes, only us
So I will follow
Hold you close standing on the edge of no tomorrow
Still deep in us, get that rush
So I still follow As long as you feeling the same, ah
I'll follow you into the flames, ah
As long as you feeling the same, ah
I'll follow you into the flames, ah I go where you go
Go through Armageddon
Girl I got you
There's no goodbyes, only us
So I will follow
Hold you close standing on the edge of no tomorrow
Still deep in us, get that rush
So I still follow"
Icarus Falls,If I Got You ,"Think I'm from space
My soul fell down
I found the Earth
Not leaving now
I know your face
Think you fell too
And ain't no place now, if I got you Anywhere, anywhere
Anywhere you go
Anywhere you go
Round the universe
I'll be there, I'll be there
Wherever you go, wherever you go, babe Think I'm from space
My soul fell down
I found the Earth
Not leaving now
I know your face
Think you fell too
And it's my place now, if I got you
If I got you, baby
You, baby
You, baby I don't care, I don't care
Wherever you been
'Cause now you're with me
Floating through the night
Feels like we're dancing
Is this the feeling
The feeling of falling in love?
'Cause I know that we met before, babe Think I'm from space
My soul fell down
I found the earth
Not leaving now
I know your face
Think you fell too
And it's my place now, if I got you
If I got you, baby
You, baby
You, baby
You, baby
You, baby
Think I'm from space
My soul fell down
I found the earth
Not leaving now
I know your face
Think you fell too
And it's my place now, if I got you
If I got you, baby
You, baby
You, baby
You, baby
You, baby"
Icarus Falls,Talk To Me ,"You look through
The hair on your face, the way that you say the things that you do
I've been through
All of the games, all of the ways that you been fooled I know I seen your face
In different times and places Come get a little closer
I wanna get to know ya
We ain't keeping no secrets
There'll be no sheets between us tonight
Talk to me, let's go deeper
You already know I need ya
We ain't keeping no secrets
I wanna see you, leave on the lights
Talk to me, talk to me, hey, oh
Talk to me, talk to me
Talk to me, talk to me
Talk to me, talk to me
Talk to me Say your peace
The words that come out, out of your mouth, I wanna hear
We can be
Something divine, planets align where we should be I know I seen your face
In different times and places Come get a little closer
I wanna get to know ya
We ain't keeping no secrets
There'll be no sheets between us tonight
Talk to me, let's go deeper
You already know I need ya
We ain't keeping no secrets
I wanna see you, leave on the lights
Talk to me, talk to me Baby, in my head
We can love forever
Here in my bed
Where we lay together Come get a little closer
I wanna get to know ya
We ain't keeping no secrets
There'll be no sheets between us tonight
Talk to me, let's go deeper
You already know I need ya
We ain't keeping no secrets
I wanna see you, leave on the lights
Talk to me, talk to me, hey, oh
Talk to me, talk to me
Talk to me, talk to me (Talk to me, yeah)
Talk to me, talk to me (Talk to me, yeah) Talk to me"
Icarus Falls,There You Are,"Only you know me
The way you know me
Only you forgive me
When I'm sorry Need you when I'm broken
When I'm fixed
Need you when I'm well
And when I'm sick
Friends that I rely on
Don't come through
They run like the river
But not you Can't see when I'm falling
Losing myself
But then I hear you calling There you are
There you are
You're there with open arms
There you are
There you are
And I run Whispers in the background
Behind closed doors
I got myself in a mess and without you, I'm in more
Oh, I'm a little drunk now
That's why I went to war
Oh yeah, you are my sober
When I'm on the floor Can't see when I'm falling
Losing myself
But then I hear you calling There you are
There you are
You're there with open arms
There you are
There you are
And I run Only you know me the way you know me
Only you forgive me when I'm sorry
Even when I messed it up
There you are Need you when I'm hot and when I'm cold
Need you when I'm young
When I'm old
You won't be far There you are
There you are
You're there with open arms
There you are
There you are
And I run Only you know me the way you know me
Only you forgive me when I'm sorry
Even when I messed it up
There you are (Need you when I'm, need you when I'm
Need you when I'm, need you when I'm)
When you're caught in the crowds
When you're up in the clouds
When you're caught in the crowds
When you're up in the clouds
There you are"
Icarus Falls,I Don't Mind ,"I don't mind falling
If it means I get to fly again
I put my all in
Like a dream I'm trying to fight against
I don't mind wishing
We're just dancing in the dark again
The light blows
Don't wanna spend time on the issue
We'll never grow old when I'm with you When I'm with, when I'm with, when I'm with
When I'm with you
The sun never comes up
When I'm with, when I'm with, when I'm with
When I'm with you
It's lit, you can't put it out
I can find you when you're lost
Girl you'll never see me running out
Fuck anybody else, there's only you But you know I got your back, I'm on your side
I don't mind
You can tell me your lies
I don't mind
You can tell me all night
When I'm with you
When you know I
Know you're playing with my mind
I don't mind
You can tell me your lies
I don't mind
You can tell me all night
When I'm with you
No, I don't mind I don't mind waiting
If you need some time to love again
I don't want nothing
Just a little something for the pain
I don't mind wishing
We're just dancing in the dark again
The light blows
Don't wanna spend time on the issue
We'll never grow old when I'm with you When I'm with, when I'm with, when I'm with
When I'm with you
The sun never comes up
When I'm with, when I'm with, when I'm with
When I'm with you
It's lit, you can't put it out
I can find you when you're lost
Girl you'll never see me running out
Fuck anybody else, there's only you But you know I got your back, I'm on your side
I don't mind
You can tell me your lies
I don't mind
You can tell me all night
When I'm with you
When you know I
Know you're playing with my mind
I don't mind
You can tell me your lies
I don't mind
You can tell me all night
When I'm with you
No I don't mind I really don't mind if it's love
Been waiting for a sign in the night
I really don't mind if it's love
Girl you know But you know I got your back, I'm on your side
I don't mind
You can tell me your lies
I don't mind
You can tell me all night
When I'm with you
When you know I
Know you're playing with my mind
I don't mind
You can tell me your lies
I don't mind
You can tell me all night
When I'm with you
No I don't mind"
Icarus Falls,Icarus Interlude,"Call me Icarus
I guess I flew too close to the sun
Myth'll call me legend, and I'ma be one
In my Yves Saint Laurent
Get the bees coming in for the honey I supply
And if you ain't got it now, then you're in for a surprise
You won't get it in a lifetime (Lifetime)
I'm in the right place at the right time (Right time) Girl, you love me better than anyone
Girl, you love me better than I've known
Girl, you love me better than I've known before
Better than I've known before (Better than I've known before)
Ain't no stopping what I know (Before)
What I know, ain't no Ain't no stopping what I feel
Plays on my mind in slo-mo
Every time as if it were real
Every night, oh, it's you I feel
That's how you're in my mind I've been lying to the liars
I've been lying
I've been lying to the liars
I've been lying to the liars
I've been lying with the liars every night
Lying 'cause I'm flying
I've been lying to the liars
Lying to the liars"
Icarus Falls,Good Guy,"Don't you fall for me, girl
I'm not the right kind
I'm a bad man
I will do all I can to keep you by my side
Just 'cause I know it feels right Explain every story, not boring
Girl, I'll be the only thing up when you're dropping
From purpose
Present and future
Hi, Mr. President, a pleasure to meet you
Hope you feel my presence 'cause it's making a feature
Working on instinct like an extinct creature
Hands all lockin' me in, slide bleacher
Street lamps lit like they're trying to teach us I've seen this scene before, real life
The nature wrote the score, my lines
Look into your eyes, and I'm not a good guy
I'm not a good guy
But I know you're mine (Bang)
But I know you're mine (Bang bang)
I'm not a good guy
I'm not a good guy
But I know you're mine (Bang)
But I know you're mine (Bang bang)"
Icarus Falls,You Wish You Knew,"Girl I got a problem
Unless we trust
You could be the best friend
Or you could be the one
But girl I got a problem
Unless we trust in love Don't wanna put my love in you
Don't wanna make a headline and lose
Don't wanna be the one that you choose
'Cause I'm the one, the one, the one that
You wish you knew
You wish you knew
You wish you knew
You wish you knew
You wish you knew
Don't wanna be the one that you choose
'Cause I'm the one, the one, the one that
You wish you knew Why you sayin' one thing
When you mean that
Holding onto nothing
Why you holding back?
'Cause girl I got a problem
Unless we trust
Yeah, girl I got a problem
Trust in love Don't wanna put my love in you
Don't wanna make a headline and lose
Don't wanna be the one that you choose
'Cause I'm the one, the one, the one that
You wish you knew
You wish you knew
You wish you knew
You wish you knew
You wish you knew
Don't wanna be the one that you choose
'Cause I'm the one, the one, the one that
You wish you knew Do you hear yourself when you speak?
Do you see yourself desperately
Talking shit trying to act like you mad?
I don't know you like that
I don't know you like that Don't wanna put my love in you
Don't wanna make a headline and lose
Don't wanna be the one that you choose
'Cause I'm the one, the one, the one that
You wish you knew
You wish you knew
You wish you knew
You wish you knew
You wish you knew
Don't wanna be the one that you choose
'Cause I'm the one, the one, the one that
You wish you knew"
Icarus Falls,Sour Diesel ,"Walks in the place, hands on her waist
Gun on her thigh, big shooter game
She did this before, murdered to gain
Promised her ma she won't kill again She got it and she know she got it
I'm takin' off like a rocket
Spaceship so high, I can't stop it
Like sour diesel
I can't stop the feelin'
Can't stop your feet, no
Feels like I'm dreamin'
Didn't feel it seep in
She burn, she burn, she burn Like sour diesel (She burn, she burn, she burn)
Like sour diesel (She burn, she burn, she burn)
I can't stop the feelin' (She burn, she burn, she burn)
Can't stop your feet, no
Like sour diesel (She burn, she burn, she burn)
She burn, she burn, she burn
Like sour diesel Lips on her face, back in the place
Legs in the air, all dirty again
Smokin' some more, I'm in her space
She touches me there, then I do it again She got it and she know she got it
I'm takin' off like a rocket
Spaceship so high, I can't stop it Like sour diesel (She burn, she burn, she burn)
Like sour diesel (She burn, she burn, she burn)
I can't stop the feelin', no (She burn, she burn, she burn)
Can't stop your feet, no
Like sour diesel (She burn, she burn, she burn)
She burn, she burn, she burn
Like sour diesel (She burn, she burn, she burn)
Feels like the heat, yeah
When the flame is here (She burn, she burn, she burn)
I can't stop the heat, yeah
Can't stop the feet (She burn, she burn, she burn)
Like sour diesel
Can't stop the feelin', oh (She burn, she burn, she burn)
No, I can't stop 'Cause it's burnin' all around you
I'm so glad I found you
'Cause it's burnin' all around you
I'm so glad I found you
Woo, yeah, yeah, yeah
Yeah Like sour diesel (She burn, she burn, she burn)
Like sour diesel (She burn, she burn, she burn)
Like sour diesel (She burn, she burn, she burn)
Like sour diesel, like sour diesel (She burn, she burn, she burn)
Ooh, yeah, she burn, she burn (She burn, she burn, she burn)
I can't stop the feelin' (She burn, she burn, she burn)
Yeah, sour diesel, wow (She burn, she burn, she burn)
Like sour diesel (She burn, she burn, she burn)
She burn (She burn, she burn, she burn)
She burn"
Icarus Falls,Satisfaction,"Nobody said this would be easy
Nobody said this would be hard
Nobody gave me a rulebook to follow
And my soul's not hollow
You see, we gotta find our place
And we'll go there now
I can't get no satisfaction alone 'Cause I can't, you can't, we can't get no
Satisfaction All in my zone, all in my space
Life is always in the way
All in my zone, all in my space
Life is always in the way Nobody said that you would leave me
Nobody says that in this dark
Somebody told me about tomorrow
And my soul's not hollow
You see, we gotta find our place
And we'll go there now
We can't get no satisfaction alone 'Cause I can't, you can't, we can't get no
Satisfaction All in my zone, all in my space
Life is always in the way
All in my zone, all in my space
Life is always in the way As you try your best to pull away
Something surges, urges you to stay
'Cause I can't, you can't, we can't get no
Satisfaction
I can't, you can't, we can't get no All in my zone, all in my space
Life is always in the way
All in my zone, all in my space
Life is always in the way We gotta find our place
And we'll go there now
I can't get no satisfaction alone
I can't get no satisfaction all alone"
Icarus Falls,Scripted ,"Blurry TV screens
Fuzzy broken scenes
Finding words don't have flow
Blurry TV screens
Fuzzy broken scenes
Hold her close finding love Hearts don't feel the same
And the names we like to say
Change with time and age So I
I don't wanna say what's scripted
Whether you are or aren't with it
I know what I need
'Cause I
I don't wanna say what's scripted
Whether you are or aren't with it
I know what I need Hearts don't feel the same
And the names we like to say
Change with time and age So I
I don't wanna say what's scripted
Whether you are or aren't with it
I know what I need
'Cause I
I don't wanna say what's scripted
Whether you are or aren't with it
I know what I need You still remember my eyes
Even if the Men In Black flashed their light into your eyes
For the second time this night
It feels right, then it's only you and I
Oh, you and I
Oh, you and I
Oh, you and I
Oh, you and I So I
I don't wanna say what's scripted
Whether you are or aren't with it
I know what I need
'Cause I
I don't wanna say what's scripted
Whether you are or aren't with it
I know what I need"
Icarus Falls,Entertainer,"You thought you had me, didn't you?
When you lied to my face, I could see the truth
Every step of the way I knew
How you fooled me, boo Guess you didn't know that
You were my favorite entertainer
I'd watch you, I'd laugh, I would fuck with you
Don't you take me for a fool
In this game, I own the rules
You were my favorite entertainer
I'd watch you, I'd laugh, I would fake it too
Don't you take me for a fool
I'ma show you a thing or two Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down Thought that you were smarter, I'm ashamed for you
I knew it right away when you stopped lovin' me
It happened when your touch wasn't enough for me Thought that you should know that
You were my favorite entertainer
I'd watch you, I'd laugh, I would fuck with you
Don't you play me for a fool
In this game, I own the rules
You were my favorite entertainer
I'd watch you, I'd laugh, I would fake it too
Don't you play me for a fool
I'ma show you a thing or two Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down Know it's harder to take, and let's face it
No one's playing your games, but let's face it
I'm being straight up
I know fake love when I see it anyway
I'ma turn you down when you need me anyway, anyway, anyway Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down I know you need me the most
The most, the most (One more time)"
Icarus Falls,All That ,"When I woke up this morning
The sun had just dawned in
My bed, or your bed
Was the first or the last time
I don't care, it feels right
I'm not, not stopping all night
Things fall apart and in a part you feel distant
Reactions are instant if emotions are constant
Let's say for instance that you had a conscience
Would you take the time then to weigh out the options All that, all that
You can give me all that
All that, all that
All that, all that
You can give me all that
All that, all that
Stay here in the morning
You can take it all back
All back, all back
Lay here, if you want to
You can give me
All that, all that, all that Never cross my mind
Have I crossed the lines
Or is there more to find, more to find?
I think inside immortalized
Mortalized, more to life
Coming from both sides
An attack of the mind
Like Optimus Prime in his prime
Kick it, don't skip it, to the finish line
This minute's mine All that, all that
You can give me all that
All that, all that
(You can give me all that)
All that, all that
You can give me all that
All that, all that
Stay here in the morning
You can take it all back
All back, all back
Lay here, if you want to
You can give me
All that, all that, all that

All that, all that
You can give me all that
All that, all that
(You can give me all that)
All that, all that
You can give me all that
All that, all that
Stay here in the morning
You can take it all back
All back, all back
Lay here, if you want to
You can give me
All that, all that, all that"
Icarus Falls,Good Years,"I'd rather be anywhere, anywhere but here
I'd rather be anywhere, anywhere but here
I close my eyes and see a crowd of a thousand tears
I pray to God I didn't waste all my good years
All my good years
All my good years The voices screaming loud as hell
We don't care 'bout no one else
Nothing in the world could bring us down
Now we're so high among the stars without a worry
And neither one, one of us wants to say we're sorry I'd rather be anywhere, anywhere but here
I'd rather be anywhere, anywhere but here
I close my eyes and see a crowd of a thousand tears
I pray to God I didn't waste all my good years
All my good years
All my good years Too much drugs and alcohol
What the hell were we fighting for?
'Cause now the whole damn world will know
That we're too numb and just too dumb to change the story
Neither one, one of us wants to say we're sorry I'd rather be anywhere, anywhere but here
I'd rather be anywhere, anywhere but here
I close my eyes and see a crowd of a thousand tears
I pray to God I didn't waste all my good years
All my good years
All my good years Need a chance just to breathe, feel alive
And when the day meets the night, show me the light
Feel the wind and the fire, hold the pain deep inside
It's in my eyes, in my eyes I'd rather be anywhere, anywhere but here
I'd rather be anywhere, anywhere but here
I close my eyes and see a crowd of a thousand tears
I pray to God I didn't waste all my good years
All my good years
All my good years I pray to God I didn't waste all my good years
All my good years
All my good years"
Icarus Falls,Fresh Air,"You could be a changed man if you wanted
You could make the doves cry if you wanted
Tell me that you want that, but you don't
Tell me that you want that, but you don't I say I'm sorry, but you're never sober
I start drinking, it's too much thinking, oh
It's the same every time that you're with me I think I need some fresh air (Fresh air, fresh air)
Feeling under pressure (Pressure, pressure)
Don't wanna talk about it ('Bout it, 'bout it)
Don't even get me started over you
You know I ain't tryna go pressure you You and me got differences, differences
You and me got differences
Why you on some different shit?
You and me got differences, differences
You and me got differences
Why you on some different shit? We're caught in a cycle, so pardon my psycho
We could've been right, though, guess that's how life go
There's nothing that I can do for you I think I need some fresh air (Fresh air, fresh air)
Feeling under pressure (Pressure, pressure)
Don't wanna talk about it ('Bout it, 'bout it)
Don't even get me started over you
You know I ain't tryna go pressure you
I think I need some fresh air (Fresh air, fresh air)
Feeling under pressure (Pressure, pressure)
Don't wanna talk about it ('Bout it, 'bout it)
Don't even get me started over you
You know I ain't tryna go pressure you You and me got differences, differences
You and me got differences
Why you on some different shit?
You and me got differences, differences
You and me got differences
Why you on some different shit?
Why you on some different shit? You could be a changed man if you wanted
You could make the doves cry if you wanted
Tell me that you want that, but you don't
Tell me that you want that, but you don't
(You and me got differences)"
Icarus Falls,Rainberry,"Rainberry, please
You think I'm on my knees, but don't you worry
I know what you don't know-oh-oh
Don't even start, the truth won't break my heart
No, don't you worry
I already know-oh-oh Too many bones inside your closet
You thought you buried deep
But they never let me get a minute of peace
How do you sleep? Ooh Rainberry
Falling down your blood-red lips
Why are your eyes heavy?
Is there somebody else you missed?
Tell me what's going on before I go too far
Said, Rainberry
Is there somebody else, somebody else now? Dry your eyes 'cause it won't work this time
I already dried mine, and I won't drown in yours
Go wash your hands, but you can't change your past
Those stories ain't shit now
You don't mean it, I'm sure Too many bones inside your closet
You thought you buried deep
But they never let me get a minute of peace
How do you sleep? Ooh Rainberry
Falling down your blood-red lips
Why are your eyes heavy?
Is there somebody else you missed?
Tell me what's going on before I go too far
Said, Rainberry
Is there somebody else, somebody else now? Rainberry, please
Rainberry
Rainberry, please Too many bones inside your closet
You thought you buried deep
But they never let me get a minute of peace
How do you sleep? Ooh Rainberry
Falling down your blood-red lips
Why are your eyes heavy?
Is there somebody else you missed?
Tell me what's going on before I go too far
Said, Rainberry
Is there somebody else, somebody else now?"
Icarus Falls,Insomnia ,"I've been roaming and strolling
All in the streets
Burning my eyes red
Not slept for weeks
Testing your torment
My future is bleak
Lost in the moment
With no words to speak I can't find no peace
(I can't find no peace) Am I a fool
Waiting for you?
What if you never come back?
What if you never come back?
There's nothing new
I made another hit, I made another tune
What if we never know why hearts deceive us?
The night calls to dreamers My sleep was stolen
I'm searching for thieves
These memories in my head
So vivid to see I can't find no peace
(I can't find no peace)
But when I close my eyes I feel it all again
I can't find no peace Am I a fool
Waiting for you?
What if you never come back?
What if you never come back?
There's nothing new
I made another hit, I made another tune
What if we never know why hearts deceive us?
The night calls to dreamers Insomnia
And when I close my eyes I feel it all again
Insomnia
And when I close my eyes I feel it all again Am I a fool
Waiting for you?
What if you never come back?
What if you never come back?
There's nothing new
I made another hit, I made another tune
What if we never know why hearts deceive us?
The night calls to dreamers"
Icarus Falls,No Candle No Light,"Hand on your hand
Chest on your chest
Tangled in bed
But I'm feeling you less
You know my love ain't free
Why do you make believe?
Why do you sell me dreams?
SMS in the morning light
We gotta, we gotta, we gotta face it
The fire, the fire ain't no longer blazin' I, I woke up on the wrong side of ya
You don't even know that I left, do ya?
Can't handle my love
Can't handle your lies
No friend zone to my love
Quit burning all of my time No candle, no light for you
No candle, no light for you
No candle, no light for you I can't do it, no baby, I can't do it
I only end up losing, ooh we're really fooling this
Agree to disagree, some things aren't meant to be
But I wanted you and me
SMS in the morning light
We gotta, we gotta, we gotta face it
The fire, the fire ain't no longer blazin' I, I woke up on the wrong side of ya
You don't even know that I left, do ya?
Can't handle my love
Can't handle your lies
No friend zone to my love
Quit burning all of my time
I, I woke up on the wrong side of ya No candle, no light for you
No candle, no light for you
No candle, no light for you We gotta, we gotta, we gotta face it
The fire, the fire ain't no longer blazin' No candle, no light for you
No candle, no light for you
No candle, no light for you Switch up the lane, switch up the lane
Watch how ya gyal just switch up her lane
This one here, it ah Nicki and ZAYN, ZAYN, seen?"
Icarus Falls,Fingers,"Fucked and I want ya
Looked and I loved ya
Stuck, now I need ya
Hopin' I'd see ya
Touch, wanna feel her
Much can't conceal her, no
Hiding all your features
Sliding on the filters
Should be you that's in the middle
Don't be hiding what you thinkin' I been fucked and I want ya, I can't even text ya
'Cause my fingers ain't working, but my heart is
If you wanna, let me know where you are, then
I can come and love (I can come and love)
I can come and love (I can come and love ya)
I can come and love ya (I can come and love)
I can come and love ya (I can come and love ya) What did I tell ya? Typo said I loved ya
Didn't mean what I was sayin'
No, I wasn't playin', just confused
Was tryna play it smooth
Stood spinnin' in this room
In this state I been consumed
State I been consumed 'Cause I'm fucked and I want ya, I can't even text ya
'Cause my fingers ain't working, but my heart is
If you wanna, let me know where you are, then
I can come and love (I can come and love)
I can come and love (I can come and love ya)
I can come and love ya (I can come and love)
I can come and love ya (I can come and love ya) I know it's taking all your strength to keep restrained
'Cause you got different things replacing
Old feelings that you felt
Now you seen it for yourself
Where's the shame? No shame in what you need Fucked and I want ya, I can't even text ya
'Cause my fingers ain't working, but my heart is
If you wanna, let me know where you are, then
I can come and love (I can come and love)
I can come and love (I can come and love ya)
I can come and love ya (I can come and love)
I can come and love ya (I can come and love ya)"
Icarus Falls,Too Much,"I think we met and the time flies
I took your digits a while back
I think we fucked in the flashback
Won't leave my mind, kinda sidetracked
Felt good but now I feel bad
I think I know I can't take it back
No, there's nothin' I can say Must be an addiction
I wanted it all, didn't expect it to fall
Must be an affliction
I wanted to call, but I didn't call
Now it's keepin' me up night and day
Keepin' me up night and day
Must be an addiction
Now there's nothin' I can say but I guess I want too much (Too much)
I just want love and lust (Uh)
You just can't love enough (Yeah)
That's why I need a touch
That's why I need a touch (Yeah)
That's why I need a touch (Uh)
That's why I need a touch (Yeah)
That's why I need a touch  I never meant to, but I did though
I gotta keep it on the d-low
Then again, what the fuck do I know?
You're always on my mind so
Felt good but now I feel bad
I think I know I can't take it back
No, there's nothin' I can say Must be an addiction
I wanted it all, didn't expect it to fall
Must be an affliction
I wanted to call, but I didn't call
Now it's keepin' me up night and day
Keepin' me up night and day
Must be an addiction
Now there's nothin' I can say but I guess I want too much (Too much)
I just want love and lust (Uh)
You just can't love enough (Yeah)
That's why I need a touch
That's why I need a touch (Yeah)
That's why I need a touch (Uh)
That's why I need a touch (Yeah)
That's why I need a touch When the room becomes a game we play
White lines, they seem to turn to snakes
I guess I'll turn you 'way
Say white lies to your face
You know I know my place
Nothin' I can say
Nothin' I can say
Nothin' I can say I guess I want too much (Too much)
I just want love and lust (Uh)
You just can't love enough (Yeah)
That's why I need a touch
That's why I need a touch (Yeah)
That's why I need a touch (Uh)
That's why I need a touch (Yeah)
That's why I need a touch "
