Album,Song,Lyrics
Mind of Mine,BoRdErSz,"She is the life of the party (Border)
Don't stick that knife in my body (Border, border, ayy)
It's somethin' she always wanted (Border)
It's for a good cause, you're doin' a good job (Border, border) And we're off where the wind blows
I don't care where we go
Just like the ocean, you change what I see
They don't know what I know
How long I've had to hold
You're like a commotion, all because of me So take it off, let's break down all of our walls
Right now, I wanna see it all, oh-oh
I don't wanna cool off, so let's cross the lines we lost
Right now, I wanna see it all, oh-oh You were right on the border (Border)
Give me all of this, give me all of you (Border, border)
No fallin' in, don't need no proof (Border, border, ayy) Beautiful insanity (Border, border)
You're like a movie, change the scene (Border, border, ayy)
Taste your sweet profanity (Border, border)
It's all for a good cause, think you're doin' a good job (Border, border, ayy) They don't know what I know
How long I've had to hold
You're like a commotion, all because of me So take it off, let's break down all of our walls
Right now, I wanna see it all, oh-oh
I don't wanna cool off, so let's cross the lines we lost
Right now, I wanna see it all, oh-oh You were right on the border
Give me all of this, give me all of you
No fallin' in, don't need no proof
You were right on border Give me all of this, give me all of you
No fallin' in, don't need no proof (Border)
Give me all of this, give me all of you (Border, border)
No fallin' in, don't need no proof (Border) So take it off, let's break down all of our walls
Right now, I wanna see it all, oh-oh
I don't wanna cool off, so let's cross the lines we lost
Right now, I wanna see it all, oh-oh You were right on the border
Give me all of this, give me all of you (Border, border)
No fallin' in, don't need no proof (Border)
You were right on the border
Give me all of this, give me all of you (Border, border)
No fallin' in, don't need no proof (Border)
You were right on the border"
Mind of Mine,​tRuTh,"My luck's on the game, can't find a way through
Don't know how many times I had to say this to you
This ain't my scene, this weren't my dream
It was all yours, of course
I got caught up in this game
And you know I won't say names of who's to blame I won't point any fingers, I won't say it was you
I'll let life take its time and, in time, you'll see the truth
I won't ask any questions, I won't say it was you
I'll let life take its time and, in time, you'll see the truth See the truth, see the truth
See the truth, see the truth
See the truth, see the truth
See the truth, see the truth My own mind was in the way, front seat, new view
Don't know how many times I've had to talk you through
My dreams, new scenes with enemies
I got caught up in this game again I won't point any fingers, I won't say it was you
I'll let life take it's time and, in time, you'll see the truth See the truth, see the truth
See the truth, see the truth
See the truth, see the truth
See the truth, see the truth I tried, hide it all
Don't try, don't try
Don't try to hide it all
Don't try to hide it all (Don't)
Don't try, don't try (Don't, don't)
Don't try to hide it all (Don't, don't) I won't point any fingers, I won't say it was you
I'll let life take it's time and, in time, you'll see the truth See the truth, see the truth
See the truth, see the truth
See the truth, see the truth
See the truth, see the truth"
Mind of Mine,​lUcOzAdE,"I'm sippin' pink Lucozade
We're blazin' on that new found haze
I'm seeing in the blacks and greys
I'm hoping that the basket sways
Left to right, sit and talk shit all night
Does that make it right for smoke?
Maybe, or am I just seeing shit?
Seeing the pain inside this house of fear You don't even wanna know about the things I hear
Quick fix, headlights shine bright
You're the fuckin' deer
I'm just wishing it's ambition that got you your position
You'll be fishing for far too long
You're the bad guy in this movie and I ain't wrong
I don't breathe the pollution
And the only solution is making shit confusin' Ain't about who's winnin' or losin'
About the path that you're choosin'
Time heals pain and promotes self-soothin'
When the scars are gone, you can't see bruising
Wanna take these watches, chains and gold rings
I'm gettin' caught up in the feelings that they bring
A lack of sanity, losing touch with reality
Smoking too much, it's starting to fog up my clarity
Travelin' in the day, but you're still lookin' far to me Bulls eye, you the dot to me
Emotions splattered, same pattern
Can't even begin to spot 'em
I'm sad about shit that never happened
No lies in my eyes, nothing but truth will leave my mouth
I'm tryna fuckin' scream, but the words won't come out
Ooh, I'm tryna fuckin' scream but the words won't come out She's older, I told her we ain't meant to be
It takes two, not three, but I'm here anyway
I hope he's leaving soon
Started not to see the elephant in this room
Disguised as your perfume, but the smell of it consumes
It takes all my mind
You can search the world, but you will never find
I see everything you've done to me, be there, you run to me
I don't need to pace, I don't need the stamina
If this shit was it, girl, I probably woulda ran from ya
Kept runnin', outwit 'cause you cunnin'
That outfit 'cause you stunnin', begging 'cause I'm losing mage
Got me feeling some type of way I can't explain
The fuck is goin' on? I think I got it wrong
When I told you I was over you, or were you under me?"
Mind of Mine,TiO,"I can taste it on your mouth and I can't leave it
You're a freak like me, can't you see?
We can work this somethin' out and I'm believin'
You get off on me, it's like cheatin' I, I, I, I just wanna watch you when you take it off
Take off all your makeup, baby, take it off
I just wanna watch you when you take it off
Take off all your clothes and watch you take them off (Take them off) Take it off, take it off
Baby, just take it off
Take it off, take it off (Take them off)
Baby, just take it off Push me up against the wall, don't take it easy
You like it hard like me, it's what you need
Let's get naked and explore our inner secrets
For what it is, it's what it is I, I, I, I just want to watch you when you take it off
Take off all your makeup, baby, take it off
I just wanna watch you when you take it off
Take off all your clothes and watch you take them off Take it off, take it off
Baby, just take it off (Take it off)
Take it off, take it off
Baby, just (Take it off)
Take it off, take it off
Baby, just take it off
Take it off, take it off (Off, baby, take it)
Baby, just take it off I just can't wait (Can't wait, no) to see it all
I'm so turned on (On) and it's all mine
I just can't wait to see it all
I'm so turned on (On) I, I, I, I just wanna watch you when you take it off (Oh)
Take off all your makeup, baby, take it off
I just wanna watch you when you take it off (Take it off)
Take off all your clothes and watch you take them off
I, I, I, I just wanna watch you when you take it off (I just wanna)
Take off all your makeup, baby, take it off (Just take it off, baby)
I just wanna watch you when you take it off (Take it off)
Take off all your clothes and watch you take them off"
Mind of Mine,BLUE,"In the clouds, where the angels sing
In her eyes, where I wanna be
And her smile is all I see
She knows I need her loving
She knows I need her touching
She plays with my heart and emotion
I give her my love and devotion
She gives thoughts and a notion
I need her body, it needs me too
I need somebody to love me blue I've been doing it wrong for too long
I said I've been at it wrong for too long
I've been doing it wrong for too long In the clouds, where the angels sing
It's her smile, yeah, it's all I see
In her eyes, where I wanna be
She knows I need her loving
She knows I need her touching
She plays with my heart and emotion
I give her my love and devotion
She gave me her thought and a notion
I need her body, she needs me too (Too) I need somebody to love
Love me blue
Love me blue
Love me blue
Love me blue"
Mind of Mine,BRIGHT,"I found my life in between shots and getting high
The cage I was in fell away when she asked me to dance again, yeah
I found my life in between a first kiss and a last goodbye
The dust settled down, now I can see through the crowd I'm loving the colour white
Surrounding your colored eyes
Though she is the kryptonite
She stays in my crib tonight
I light her like dynamite
Load her like gigabyte
Turn out the fucking lights
I wanna see you bright I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you For the love in my mind, love for the bass
She likes getting high, yeah, just for the day
She's different in night, she knows what I say
Free of the flash, dirt on your shoes, I don't know you I'm loving the colour white
Surrounding your colored eyes
Though she is the kryptonite
She stays in my crib tonight
I light her like dynamite
Load her like gigabyte
Turn out the fucking lights
I wanna see you bright I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright I found my life in between shots and getting high
The cage I was in fell away when she asked me to dance again, yeah I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you"
Mind of Mine,LIKE I WOULD,"Hey what's up? It's been a while
Talking 'bout it's not my style
Thought I'd see what's up, while I'm lighting up
It's cold-hearted, cold-hearted
Know it's late, but I'm so wired
Saw your face and got inspired
Guess you let it go, now you're good to go
It's cold-hearted, cold-hearted Oh, oh, it's probably gonna sound wrong
Promise it won't last long
Oh, oh, if we can never go back
Thought you'd like to know that He won't touch you like I do
He won't love you like I would
He don't know your body, he don't do you right
He won't love you like I would
Love you like I would It's okay to want me, 'cause I want you
Been thinkin' it over, but I'm through
So stop wasting all my time, messing with my mind
It's cold-hearted, cold-hearted Oh, oh, it's probably gonna sound wrong
Promise it won't last long
Oh, oh, if we can never go back
Thought you'd like to know that He won't touch you like I do
He won't love you like I would
He don't know your body, he don't do you right
He won't love you like I would
Love you like I would, like I would
He won't touch you like I do
He won't love you like I would
He don't know your body, he don't do you right
He won't love you like I would
Love you like I would, like I would He can't love you like I would
He can't love you like I could
He don't know your body
He don't know your body He won't touch you like I do
He won't love you like I would
He don't know your body, he don't do you right
He won't love you like I would
Love you like I would, like I would (He can't touch you like I would)
He won't touch you like I do (He can't love you like I do)
He won't love you like I would
He don't know your body, he don't do you right
He won't love you like I would
Love you like I would, like I would"
Mind of Mine,SHE DON’T LOVE ME,"I, I need you, I, I don't
I question myself all the time, asking why I don't know It's kinda hard to walk right
When you're walking on my left
With your high heels on and your sexy-ass dress
I see you talking on your phone, phone
Wish I could get you on your own, own
But I've seen you gone over love I think I know she don’t love me
That's why I fuck her right
I think I know she don't love me
That's why I fuck her right I want you, your body
I want you, your body on top of mine I, I want you, I, I don't
I question myself all the time, asking why I don't know It's kinda hard to walk right
When you're walking on my left
With your high heels on and your sexy-ass dress
I see you talking on your phone, phone
Wish I could get you on your own, own
But I've seen you gone over love I think I know she don’t love me
That's why I fuck her right
I think I know she don't love me
That's why I fuck her right I want you, your body
I want you, your body on top of mine  Should we wait 'til the morning?
See it loud in your eyes
Can't escape what I'm feeling
Your body on top of mine I think I know she don’t love me
That's why I fuck her right
I think I know she don't love me
That's why I fuck her right I want you, your body
I want you, your body on top of mine"
Icarus Falls,Let Me,"Sweet baby, our sex has meaning (Sex has meaning)
Know this time you'll stay 'til the morning (Stay 'til the morning)
Duvet days and vanilla ice cream (Vanilla ice cream)
More than just one night together exclusively (Exclusively) Baby, let me be your man
So I can love you (I can love you)
And if you let me be your man
Then I'll take care of you, you For the rest of my life, for the rest of yours
For the rest of my life, for the rest of yours
For the rest of ours We're drinkin' the finest label (Finest label)
Dirty dancing on top of the table (Top of the table)
Long walks on the beach in April (Beach in April)
Yeah, I promise, darling, that I'll be faithful (Be faithful) Baby, let me be your man (Let me be your man)
So I can love you (I can love you)
And if you let me be your man (Let me be your man)
Then I'll take care of you (I can love you) For the rest of my life, for the rest of yours
For the rest of my life, for the rest of yours
For the rest of ours Give me your body and let me love you like I do
Come a little closer and let me do those things to you
This feelin' will last forever, baby, that's the truth
Let me be your man so I can love you Baby, let me be your man (Let me be your man)
So I can love you (I can love you)
And if you let me be your man (Let me be your man)
Then I'll take care of you (I can love you) For the rest of my life (For the rest of my life)
For the rest of yours (For the rest of yours)
For the rest of my life (For the rest of my life)
For the rest of yours (For the rest of yours)
For the rest of ours (For the rest of ours)"
Icarus Falls,Natural,"It's just like breathin', speakin'
When we touch, like a force of nature
Not just a feelin', let's believe it
The birth of love like a force of nature Undeniable (It's our love)
Unforgettable (It's our love)
Nothing compares to when
I feel you on my skin It feels so natural, natural
When we come together
Like a force of nature
It feels so natural, natural
When we come together
Like a force of nature When we come together, together, together
When we come together, together, together Pure heart, deeper
Beautiful, like the bluest ocean
Like a wave, we broke down
The barriers, like the bluest ocean It's incredible (It's our love)
Unforgettable (It's our love)
Nothing compares to when
I feel you on my skin It feels so natural, natural
When we come together
Like a force of nature
It feels so natural, natural
When we come together
Like a force of nature When we come together, together, together
When we come together, together, together Like a hurricane (It's our love)
Like a hurricane (It's our love)
Like a hurricane
When we come together
Like a hurricane (It's our love)
Like a hurricane (It's our love)
Like a hurricane
When we come together It feels so natural, natural
When we come together
Like a force of nature
It feels so natural, natural
When we come together
Like a force of nature Let's come together, come together
Right now, right now
Let's come together, come together
Right now, right now
Come together, together
Right now"
